大学名称,所在地,隶属,院士,硕士点,类型,重点学科,博士点,地址,平均线,是否985,是否211,是否自主招生
东北师范大学人文学院,长春,吉林省教育厅,0,0,综合,0,0, 吉林省长春市净月经济开发区博硕路1488号,无,否,否,否
长春大学旅游学院,长春,吉林省教育厅,0,0,综合,0,0, 长春市双阳区奢岭街,无,否,否,否
内蒙古大学创业学院,内蒙古,内蒙古自治区教育厅,0,0,综合,0,0, 内蒙古自治区呼和浩特市玉泉区昭君路24号,无,否,否,否
内蒙古师范大学鸿德学院,内蒙古,内蒙古自治区教育厅,0,0,综合,0,0, 内蒙古呼和浩特市机场路29号,无,否,否,否
电子科技大学中山学院,中山,广东省教育厅,0,0,综合,0,0, 广东省中山市学院路1号,无,否,否,否
琼州学院,五指山,海南省教育厅,0,0,综合,0,0, 海南省三亚市育才路1号,无,否,否,否
三明学院,无,福建省教育厅,0,0,综合,0,0, 福建省三明市荆东路25号,无,否,否,否
莆田学院,无,福建省教育厅,0,0,综合,0,0, 福建省莆田市城厢区学园中街1133号,无,否,否,否
重庆三峡学院,无,重庆市教育委员会,0,0,综合,0,0, 重庆市万州区沙龙路二段780号,无,否,否,否
贵州师范学院,无,贵州省教育厅,0,0,综合,0,0, 贵州省贵阳市乌当区高新路115号,无,否,否,否
安康学院,无,陕西省教育厅,0,0,综合,0,0, 中国 陕西 安康市育才路92号,无,否,否,否
郑州升达经贸管理学院,无,无,0,0,综合,0,0, 郑州市新郑龙湖镇中山南路1号,无,否,否,否
仰恩大学,无,福建省教育厅,0,0,综合,0,0, 福建省泉州市洛江区仰恩大学,无,否,否,否
齐齐哈尔工程学院,无,黑龙江省教育厅,0,0,综合,0,0, 黑龙江省齐齐哈尔市南苑高新技术产业开发区喜庆路1号,无,否,否,否
哈尔滨剑桥学院,无,黑龙江省教育厅,0,0,综合,0,0, 哈尔滨市香坊区哈平路239号,无,否,否,否
黑龙江东方学院,无,黑龙江省教育厅,0,0,综合,0,0, 哈尔滨市学府路331号,无,否,否,否
商丘学院,无,河南省教育厅,0,0,综合,0,0, 河南省商丘市北海东路66号,无,否,否,否
三江学院,无,江苏省教育厅,0,0,综合,0,0, 南京市雨花台区铁心桥龙西路10号,无,否,否,否
景德镇学院,无,江西省教育厅,0,0,综合,0,0, 江西省景德镇市瓷都大道838号(校本部),无,否,否,否
吉林动画学院,无,吉林省教育厅,0,0,综合,0,0, 吉林省长春市高新开发区博识路168号,无,否,否,否
宁夏理工学院,无,宁夏回族自治区教育厅,0,0,综合,0,0, 宁夏石嘴山市大武口区山水大道学院路1号,无,否,否,否
银川能源学院,无,宁夏回族自治区教育厅,0,0,综合,0,0, 宁夏银川市永宁王太堡,无,否,否,否
云南工商学院,无,云南省教育厅,0,0,综合,0,0, 云南省杨林工业园区职教基地,无,否,否,否
天津天狮学院,无,天津市教育委员会,0,0,综合,0,0, 天津市新技术产业园区武清开发区源泉路15号,无,否,否,否
广西外国语学院,无,广西壮族自治区教育厅,0,0,综合,0,0, 广西南宁市青秀区（五合大学城）五合大道19号...,无,否,否,否
广东科技学院,无,广东省教育厅,0,0,综合,0,0, 广东省东莞市南城区西湖路99号,无,否,否,否
青岛滨海学院,无,山东省教育厅,0,0,综合,0,0, 山东省青岛经济技术开发区嘉陵江西路425号,无,否,否,否
青岛黄海学院,无,山东省教育厅,0,0,综合,0,0, 山东青岛黄海职业学院一校区（灵山卫）,无,否,否,否
山东英才学院,无,山东省教育厅,0,0,综合,0,0, 山东省济南市高新区大正示范区英才路2号,无,否,否,否
天津师范大学津沽学院,天津,天津市教育委员会,0,0,综合,0,0, 天津市西青区宾水西道393号,无,否,否,否
河海大学文天学院,马鞍山,安徽省教育厅,0,0,综合,0,0, 安徽省马鞍山市霍里山大道333号,无,否,否,否
中山大学新华学院,广州,广东省教育厅,0,0,综合,0,0, 广州市天河区龙洞华美路19号,无,否,否,否
广州商学院,广州,广东省教育厅,0,0,综合,0,0, 广东省广州市萝岗区九龙镇,无,否,否,否
广州大学松田学院,广州,广东省教育厅,0,0,综合,0,0, 广州市增城朱村街,无,否,否,否
中山大学南方学院,广州,广东省教育厅,0,0,综合,0,0, 广东省广州市从化温泉镇,无,否,否,否
上海师范大学天华学院,上海,上海市教育委员会,0,0,综合,0,0, 上海市嘉定区胜辛北路1661号,无,否,否,否
上海纽约大学,上海,上海市,0,0,综合,0,0, 上海浦东新区世纪大道,无,否,否,否
大连艺术学院,大连,无,0,0,综合,0,0, 辽宁省大连开发区东北大街92号,无,否,否,否
大庆师范学院,大庆,黑龙江省教育厅,0,0,综合,0,0, 黑龙江省大庆市让胡路区西宾西路,无,否,否,否
山西大同大学,大同市,山西省教育厅,0,0,综合,0,0, 山西省大同市御河桥东,无,否,否,否
四川外国语大学重庆南方翻译学院,重庆,重庆市教育委员会,0,0,语言,0,0, 重庆市渝北区龙石路18号,无,否,否,否
安徽外国语学院,合肥,安徽省教育厅,0,0,语言,0,0, 合肥市国家级森林公园紫蓬山风景区,无,否,否,否
四川外国语大学成都学院,成都,四川省教育厅,0,0,语言,0,0, 四川省成都市都江堰大观镇高尔夫大道367号,无,否,否,否
首都师范大学科德学院,北京,北京市教育委员会,0,0,语言,0,0, 北京市大兴区榆垡镇榆祥路10号,无,否,否,否
湖南女子学院,长沙,湖南省教育厅,0,0,语言,0,0, 湖南省长沙市中意一路160号,无,否,否,否
西安翻译学院,无,陕西省教育厅,0,0,语言,0,0, 陕西省西安市长安区太乙宫,无,否,否,否
浙江越秀外国语学院,无,浙江省教育厅,0,0,语言,0,0, 浙江绍兴市区会稽路428号,无,否,否,否
吉林华桥外国语学院,无,吉林省教育厅,0,0,语言,0,0, 吉林省长春市净月大街3658号,无,否,否,否
天津外国语大学滨海外事学院,天津,天津市教育委员会,0,0,语言,0,0, 天津市大港区学府路60号,无,否,否,否
山东政法学院,济南,山东省教育厅,0,0,政法,0,0, 山东省济南市解放东路63号,无,否,否,否
江苏警官学院,南京,江苏省教育厅,0,0,政法,0,0, 南京市安德门128号,无,否,否,否
江西警察学院,南昌市,江西省教育厅,0,0,政法,0,0, 江西省南昌市云湾大道1666号,无,否,否,否
四川警察学院,泸州市,四川省教育厅,0,0,政法,0,0, 四川省泸州市江阳西路34号,无,否,否,否
河南警察学院,郑州市,河南省教育厅,0,0,政法,0,0, 中国河南郑州市文劳路6号,无,否,否,否
铁道警察学院,郑州市,公安部,0,0,政法,0,0, 河南省郑州市农业路31号,无,否,否,否
云南警官学院,昆明市,云南省教育厅,0,0,政法,0,0, 昆明市官渡区教场北路 249号,无,否,否,否
浙江警察学院,杭州市,浙江省教育厅,0,0,政法,0,0, 浙江·杭州市滨江区滨文路555号,无,否,否,否
湖北警官学院,武汉市,湖北省教育厅,0,0,政法,0,0, 湖北省武汉市解放大道86号,无,否,否,否
甘肃政法学院,兰州,甘肃省教育厅,0,0,政法,0,0, 甘肃省兰州市安宁西路6号,无,否,否,否
吉林警察学院,长春,吉林省教育厅,0,0,政法,0,0, 吉林省长春市净月经济开发区博硕路1399号,无,否,否,否
湖南警察学院,长沙市,湖南省教育厅,0,0,政法,0,0, 长沙市远大三路9号,无,否,否,否
新疆警察学院,无,新疆维吾尔自治区教育厅,0,0,政法,0,0, 乌鲁木齐市长沙路6号,无,否,否,否
重庆警察学院,无,重庆市教育委员会,0,0,政法,0,0, 重庆市高新区石桥铺玉灵洞259号,无,否,否,否
山东警察学院,无,山东省教育厅,0,0,政法,0,0, 济南市文化东路54号,无,否,否,否
上海政法学院,无,上海市教育委员会,0,0,政法,0,0, 上海市青浦区外青松公路7989号,无,否,否,否
福建警察学院,无,福建省教育厅,0,0,政法,0,0, 福州市仓山区首山路59号,无,否,否,否
广东警官学院,广州,广东省教育厅,0,0,政法,0,0, 广州市滨江东路500号（滨江东校区），广州市北郊（嘉禾校区),无,否,否,否
浙江农林大学暨阳学院,杭州,浙江省教育厅,0,0,林业,0,0, 中国浙江 诸暨市浦阳路77号,无,否,否,否
武汉体育学院体育科技学院,武汉,湖北省教育厅,0,0,体育,0,0, 武汉市江夏区藏龙岛科技园区11号路,无,否,否,否
成都体育学院,成都,四川省教育厅,0,0,体育,0,0, 四川省成都市武侯区体院路2号,无,否,否,否
吉林体育学院,长春,吉林省教育厅,0,0,体育,0,0, 吉林省长春市自由大路2476号,无,否,否,否
沈阳体育学院,无,辽宁省教育厅,0,0,体育,0,0, 沈阳市苏家屯区金钱松东路36号,无,否,否,否
天津体育学院运动与文化艺术学院,天津,天津市教育委员会,0,0,体育,0,0, 天津市河西区卫津南路51号,无,否,否,否
嘉兴学院南湖学院,嘉兴,浙江省教育厅,0,0,财经,0,0, 浙江省嘉兴市越秀南路56号,无,否,否,否
福建江夏学院,福州市,福建省教育厅,0,0,财经,0,0, 福州市大学新校区溪源宫路2号,无,否,否,否
铜陵学院,铜陵,安徽省教育厅,0,0,财经,0,0, 安徽省铜陵市北京中路297号,无,否,否,否
浙江财经大学东方学院,海宁,浙江省教育厅,0,0,财经,0,0, 浙江省海宁市长安镇仰山路2号,无,否,否,否
重庆工商大学融智学院,重庆,重庆市教育委员会,0,0,财经,0,0, 重庆市沙坪坝区井口工业园区,无,否,否,否
重庆师范大学涉外商贸学院,重庆,重庆市教育委员会,0,0,财经,0,0, 重庆市合川区学府路9号,无,否,否,否
重庆工商大学派斯学院,重庆,重庆市教育委员会,0,0,财经,0,0, 重庆市合川区交通街593号,无,否,否,否
哈尔滨金融学院,哈尔滨,黑龙江省教育厅,0,0,财经,0,0, 哈尔滨市香坊区电碳路65号,无,否,否,否
贵州财经大学商务学院,贵阳,贵州省教育厅,0,0,财经,0,0, 贵阳市云岩区鹿冲关路276号,无,否,否,否
广西财经学院,南宁,广西壮族自治区教育厅,0,0,财经,0,0, 广西南宁市明秀西路100号,无,否,否,否
中原工学院信息商务学院,郑州,河南省教育厅,0,0,财经,0,0, 郑州市中原中路41号,无,否,否,否
郑州成功财经学院,郑州,河南省教育厅,0,0,财经,0,0, 河南省郑州巩义市紫荆路136号,无,否,否,否
浙江工商大学杭州商学院,杭州,浙江省教育厅,0,0,财经,0,0, 浙江省杭州市下沙高教园区学正街18号,无,否,否,否
湖北商贸学院,武汉,湖北省教育厅,0,0,财经,0,0, 湖北省武汉市洪山区雄楚大街634号,无,否,否,否
武汉商学院,武汉,湖北省教育厅,0,0,财经,0,0, 湖北省武汉市武汉经济技术开发区东风大道816号,无,否,否,否
江汉大学文理学院,武汉,湖北省教育厅,0,0,财经,0,0, 武汉经济技术开发区博学路9号,无,否,否,否
湖北经济学院,武汉,湖北省教育厅,0,0,财经,0,0, 武汉江夏藏龙岛科技园区洋湖大道特1号,无,否,否,否
湖北经济学院法商学院,武汉,湖北省教育厅,0,0,财经,0,0, 武汉市江夏区藏龙岛开发区杨桥湖大道8号,无,否,否,否
中南财经政法大学武汉学院,武汉,湖北省教育厅,0,0,财经,0,0, 湖北省武汉市洪山区雄楚大街636号,无,否,否,否
成都信息工程大学银杏酒店管理学院,成都,四川省教育厅,0,0,财经,0,0, 四川省成都市郫县红光镇广场路1116号,无,否,否,否
西安财经学院行知学院,西安,陕西省教育厅,0,0,财经,0,0, 陕西省西安市灞桥区狄寨路57号,无,否,否,否
兰州财经大学长青学院,兰州,甘肃省教育厅,0,0,财经,0,0, 兰州市城关区店子街45号,无,否,否,否
兰州财经大学陇桥学院,兰州,甘肃省教育厅,0,0,财经,0,0, 兰州市和平开发区学院路,无,否,否,否
河北经贸大学经济管理学院,石家庄,河北省教育厅,0,0,财经,0,0, 石家庄市红旗大街428号,无,否,否,否
新疆财经大学商务学院,乌鲁木齐,新疆维吾尔自治区教育厅,0,0,财经,0,0, 新疆乌鲁木齐市杭州西街237号,无,否,否,否
辽东学院,丹东市,辽宁省教育厅,0,0,财经,0,0, 辽宁省丹东市振安区临江后街116号,无,否,否,否
吉林工商学院,长春,吉林省教育厅,0,0,财经,0,0, 长春市皓月大路1606号,无,否,否,否
湖南财政经济学院,长沙市,湖南省教育厅,0,0,财经,0,0, 湖南省长沙市岳麓区枫林二路139号,无,否,否,否
湖南商学院北津学院,长沙,湖南省教育厅,0,0,财经,0,0, 长沙市雷锋大道星城镇,无,否,否,否
福州外语外贸学院,无,福建省教育厅,0,0,财经,0,0, 福州市仓山区城门三角埕城山100号,无,否,否,否
武汉工商学院,无,湖北省教育厅,0,0,财经,0,0, 湖北省武汉市洪山区黄家湖西路3号,无,否,否,否
海口经济学院,无,海南省教育厅,0,0,财经,0,0, 海南省海口市国兴大道文坛路2号,无,否,否,否
西安外事学院,无,陕西省教育厅,0,0,财经,0,0, 陕西西安丈八北路408号,无,否,否,否
西安欧亚学院,无,陕西省教育厅,0,0,财经,0,0, 西安市电子城欧亚路一号,无,否,否,否
陕西国际商贸学院,无,陕西省教育厅,0,0,财经,0,0, 陕西省咸阳市大学园区统一西路35号,无,否,否,否
山西工商学院,无,山西省教育厅,0,0,财经,0,0, 山西省太原市坞城南路99号,无,否,否,否
上海杉达学院,无,上海市教育委员会,0,0,财经,0,0, 上海浦东金海路2727号,无,否,否,否
上海金融学院,无,上海市教育委员会,0,0,财经,0,0, 上海上川路995号,无,否,否,否
河南大学民生学院,开封,河南省教育厅,0,0,财经,0,0, 河南省开封市金明大道北段,无,否,否,否
广东培正学院,广州,广东省教育厅,0,0,财经,0,0, 广东省广州市花都区赤坭培正路53号,无,否,否,否
广东财经大学华商学院,广州,广东省教育厅,0,0,财经,0,0, 广州市增城市荔城街华商路一号,无,否,否,否
广东外语外贸大学南国商学院,广州,广东省教育厅,0,0,财经,0,0, 广州市白云区良田中路181号,无,否,否,否
上海商学院,上海市,上海市教育委员会,0,0,财经,0,0, 上海市中山西路2271号,无,否,否,否
上海外国语大学贤达经济人文学院,上海,上海市教育委员会,0,0,财经,0,0, 上海市虹口区东体育会路390号,无,否,否,否
遵义医学院医学与科技学院,遵义,贵州省教育厅,0,0,医药,0,0, 贵州省遵义市大连路201号,无,否,否,否
新乡医学院三全学院,新乡,河南省教育厅,0,0,医药,0,0, 河南省新乡市华兰大道新乡医学院三全学院,无,否,否,否
温州医科大学仁济学院,温州,浙江省教育厅,0,0,医药,0,0, 温州市茶山高教园区,无,否,否,否
桂林医学院,桂林,广西壮族自治区教育厅,0,0,医药,0,0, 广西桂林市环城北二路109号,无,否,否,否
贵州医科大学神奇民族医药学院,贵阳,贵州省教育厅,0,0,医药,0,0, 贵阳市北京路9号,无,否,否,否
贵阳中医学院时珍学院,贵阳,贵州省教育厅,0,0,医药,0,0, 贵阳市富源南路548号,无,否,否,否
贵阳中医学院,贵阳,贵州省教育厅,0,0,医药,0,0, 贵阳市市东路50号,无,否,否,否
广西中医药大学赛恩斯新医药学院,南宁,广西壮族自治区教育厅,0,0,医药,0,0, 广西南宁市青秀区五合大道13号,无,否,否,否
西藏藏医学院,拉萨,西藏自治区教育厅,0,0,医药,0,0, 拉萨市当热中路10号,无,否,否,否
牡丹江医学院,牡丹江,黑龙江省教育厅,0,0,医药,0,0, 黑龙江省牡丹江市爱民区通乡街3号,无,否,否,否
浙江中医药大学滨江学院,杭州,浙江省教育厅,0,0,医药,0,0, 杭州市滨江区滨文路548号,无,否,否,否
辽宁中医药大学杏林学院,沈阳,辽宁省教育厅,0,0,医药,0,0, 辽宁省沈阳市东陵区白塔街380-2号,无,否,否,否
中国医科大学临床医药学院,沈阳,辽宁省教育厅,0,0,医药,0,0, 辽宁省沈阳市和平区北五马路21号,无,否,否,否
安徽医科大学临床医学院,合肥,安徽省教育厅,0,0,医药,0,0, 安徽省合肥经济技术开发区翡翠路15号,无,否,否,否
成都医学院,成都,四川省教育厅,0,0,医药,0,0, 成都市蓉都大道天回路601号,无,否,否,否
新疆医科大学厚博学院,乌鲁木齐,新疆维吾尔自治区教育厅,0,0,医药,0,0, 新疆维吾尔自治区乌鲁木齐市鲤鱼山路附29号,无,否,否,否
湖南中医药大学湘杏学院,长沙,湖南省教育厅,0,0,医药,0,0, 湖南省长沙市韶山中路113号,无,否,否,否
山西医科大学晋祠学院,太原,山西省教育厅,0,0,医药,0,0, 山西省太原市晋祠,无,否,否,否
右江民族医学院,无,广西壮族自治区教育厅,0,0,医药,0,0, 广西百色市城乡路98号,无,否,否,否
山东协和学院,无,山东省教育厅,0,0,医药,0,0, 山东济南市工业北路延长线唐冶新城（新校区）,无,否,否,否
湖北医药学院药护学院,十堰,湖北省教育厅,0,0,医药,0,0, 湖北省十堰市人民南路30号,无,否,否,否
福建农林大学金山学院,福州,福建省教育厅,0,0,农业,0,0, 福建省福州市福建农林大学金山学院,无,否,否,否
山西农业大学信息学院,晋中,山西省教育厅,0,0,农业,0,0, 山西省晋中市经济开发区榆太路100号,无,否,否,否
山东农业工程学院,济南市,山东省教育厅,0,0,农业,0,0, 济南市历城区农干院路866号,无,否,否,否
河北农业大学现代科技学院,保定,河北省教育厅,0,0,农业,0,0, 河北省保定市建设南路215号,无,否,否,否
黑龙江工商学院,哈尔滨,黑龙江省教育厅,0,0,农业,0,0, 黑龙江省哈尔滨利民开发区学院路群英街33号,无,否,否,否
信阳农林学院,信阳市,河南省教育厅,0,0,农业,0,0, 河南省信阳市农专路1号  信阳农专招生就业处...,无,否,否,否
河南牧业经济学院,郑州市,河南省教育厅,0,0,农业,0,0, 河南省郑州市金水区北林路16号,无,否,否,否
浙江海洋学院东海科学技术学院,舟山,浙江省教育厅,0,0,农业,0,0, 浙江省舟山市定海区文化路109号,无,否,否,否
吉林农业科技学院,吉林市,吉林省教育厅,0,0,农业,0,0, 吉林省吉林市吉林经济技术开发区经开大街翰林路77号,无,否,否,否
新疆农业大学科学技术学院,乌鲁木齐,新疆维吾尔自治区教育厅,0,0,农业,0,0, 新疆维吾尔自治区乌鲁木齐市南昌路42号,无,否,否,否
中南林业科技大学涉外学院,长沙,湖南省教育厅,0,0,农业,0,0, 湖南省长沙市韶山南路498号,无,否,否,否
首都医科大学,北京市,北京市教育委员会,3,78,医药,8,41, 北京市丰台区右安门外西头条10号,642,否,否,否
湖南农业大学东方科技学院,长沙,湖南省教育厅,0,0,农业,0,0, 湖南省长沙市芙蓉区,无,否,否,否
华南农业大学珠江学院,广州,广东省教育厅,0,0,农业,0,0, 广州从化市街口街广从北路72号,无,否,否,否
赣南师范学院科技学院,赣州,江西省教育厅,0,0,师范,0,0, 江西省赣州市章贡区红旗大道61号,无,否,否,否
衡阳师范学院南岳学院,衡阳,湖南省教育厅,0,0,师范,0,0, 湖南省衡阳市黄白路179号,无,否,否,否
首都师范大学,北京市,北京市教育委员会,5,109,师范,33,41, 北京市海淀区西三环北路105号,602,否,否,否
衡水学院,衡水市,河北省教育厅,0,0,师范,0,0, 河北衡水市和平西路1088号,无,否,否,否
遵义师范学院,遵义,贵州省教育厅,0,0,师范,0,0, 贵州省遵义市上海路830号,无,否,否,否
鞍山师范学院,鞍山,辽宁省教育厅,0,0,师范,0,0, 辽宁省鞍山市铁东区平安街43号,无,否,否,否
河南师范大学新联学院,新乡,河南省教育厅,0,0,师范,0,0, 河南省新乡市建设路东段46号,无,否,否,否
榆林学院,榆林,陕西省教育厅,0,0,师范,0,0, 榆林市西沙文化路北段,无,否,否,否
楚雄师范学院,楚雄市,云南省教育厅,0,0,师范,0,0, 楚雄市鹿城南路461号,无,否,否,否
北京建筑大学,北京市,北京市教育委员会,3,20,工科,0,0, 北京市西城区展览馆路1号,589,否,否,否
滁州学院,滁州,安徽省教育厅,0,0,师范,0,0, 安徽省滁州市琅琊路2号（北校区），安徽省滁州市丰乐南路80号（南校区）,无,否,否,否
渭南师范学院,渭南,陕西省教育厅,0,0,师范,0,0, 陕西省渭南市朝阳路西段,无,否,否,否
南方医科大学,广州,广东省教育厅,5,98,医药,3,75, 广州市白云区沙太南路1023号,587,否,否,否
北京工商大学,北京市,北京市教育委员会,3,32,财经,0,1, 北京良乡高教园区（良乡校区）海淀区阜成路11号（东校区）33号（西校区）,585,否,否,否
温州大学瓯江学院,温州,浙江省教育厅,0,0,师范,0,0, 浙江省温州市茶山高教园区,无,否,否,否
湖州师范学院求真学院,湖州,浙江省教育厅,0,0,师范,0,0, 浙江省湖州市学士路158号,无,否,否,否
湘潭大学,湘潭,湖南省教育厅,2,139,综合,15,17, 湖南省湘潭市,578,否,否,否
巢湖学院,巢湖,安徽省教育厅,0,0,师范,0,0, 安徽省巢湖市半汤镇,无,否,否,否
西安建筑科技大学,西安,陕西省教育厅,2,66,工科,29,29, 陕西省西安市雁塔路13号,575,否,否,否
绵阳师范学院,绵阳,四川省教育厅,0,0,师范,0,0, 绵阳市仙人路一段30号,无,否,否,否
宿州学院,宿州,安徽省教育厅,0,0,师范,0,0, （西校区）安徽省宿州市汴河中路71号；（东校区）宿州市东二铺,无,否,否,否
上海理工大学,上海市,上海市教育委员会,7,112,工科,0,37, 上海市军工路516号,573,否,否,否
华南农业大学,广州,广东省教育厅,1,23,农业,5,12, 广州市天河区五山路483号,573,否,否,否
淮南师范学院,淮南,安徽省教育厅,0,0,师范,0,0, 安徽省安徽省淮南市田家庵区学院路,无,否,否,否
淮阴师范学院,淮安,江苏省教育厅,0,0,师范,0,0, 江苏省淮安市长江西路111号,无,否,否,否
淮北师范大学信息学院,淮北,安徽省教育厅,0,0,师范,0,0, 安徽省淮北市东山路100号,无,否,否,否
商丘师范学院,商丘,河南省教育厅,0,0,师范,0,0, 河南省商丘市平原中路55号,无,否,否,否
江苏大学,镇江,江苏省教育厅,7,170,综合,2,42, 江苏省镇江市学府路301号,569,否,否,否
重庆交通大学,重庆市,重庆市教育委员会,3,65,工科,0,15, 重庆市南岸区学府大道66号,569,否,否,否
江苏理工学院,常州,江苏省教育厅,0,0,师范,0,0, 江苏省常州市中吴大道1801号,无,否,否,否
湖北师范学院文理学院,黄石,湖北省教育厅,0,0,师范,0,0, 湖北省黄石市团城山开发区桂林南路,无,否,否,否
陕西科技大学,西安,陕西省教育厅,1,88,工科,4,18, 陕西省西安市未央大学园区,564,否,否,否
黄山学院,黄山,安徽省教育厅,0,0,师范,0,0, 南校区：安徽省黄山市屯溪区西海路39号，北校区：安徽省黄山市屯溪区戴震路44号,无,否,否,否
唐山师范学院,唐山,河北省教育厅,0,0,师范,0,0, 河北省唐山市建设北路156号,无,否,否,否
晋中学院,晋中,山西省教育厅,0,0,师范,0,0, 山西省晋中市榆次区文苑街1号,无,否,否,否
长沙理工大学,长沙,湖南省教育厅,3,61,工科,7,7," 金盆岭校区（湖南省长沙市天心区赤岭路45号）,云塘校区（湖南省长沙市雨花区万家丽南路二段960号）",562,否,否,否
河北医科大学,石家庄,河北省教育厅,3,40,医药,10,16, 河北省石家庄市中山东路361号,561,否,否,否
黔南民族师范学院,都均,贵州省教育厅,0,0,师范,0,0, 贵州省都匀市开发区龙山大道,无,否,否,否
东北石油大学,大庆,黑龙江省教育厅,3,89,工科,4,19, 黑龙江省大庆市高新技术开发区发展路199号,559,否,否,否
辽宁工程技术大学,阜新,辽宁省教育厅,4,52,工科,1,22, 辽宁省阜新市中华路47号,553,否,否,否
天津中医药大学,天津市,天津市教育委员会,3,25,医药,2,20, 天津市南开区鞍山西道312号,553,否,否,否
盐城师范学院,盐城,江苏省教育厅,0,0,师范,0,0, 江苏省盐城市开放大道50号,无,否,否,否
泰州学院,泰州市,江苏省教育厅,0,0,师范,0,0, 泰州市春晖路100号,无,否,否,否
南京师范大学泰州学院,泰州,江苏省教育厅,0,0,师范,0,0, 江苏省泰州市东风南路518号,无,否,否,否
山东理工大学,淄博市,山东省教育厅,5,21,工科,0,0, 山东省淄博市张店区张周路12号,543,否,否,否
保定学院,保定,河北省教育厅,0,0,师范,0,0, 河北省保定市七一东路3027号,无,否,否,否
重庆第二师范学院,重庆,重庆市教育委员会,0,0,师范,0,0, 重庆市南岸区学府大道9号,无,否,否,否
哈尔滨医科大学,哈尔滨,黑龙江省教育厅,1,49,医药,2,45, 哈尔滨市南岗区学府路194号,537,否,否,否
长江师范学院,重庆,重庆市教育委员会,0,0,师范,0,0, 重庆市涪陵区李渡聚龙大道98号,无,否,否,否
贵州师范大学求是学院,贵阳,贵州省教育厅,0,0,师范,0,0, 贵州省贵阳市白云区白云北路397号,无,否,否,否
郑州师范学院,郑州,河南省教育厅,0,0,师范,0,0, 河南省郑州市大学城北区英才街6号,无,否,否,否
湖南农业大学,长沙,湖南省教育厅,3,99,农业,2,50, 湖南省长沙市芙蓉区湖南农业大学,533,否,否,否
天津师范大学,天津市,天津市教育委员会,6,110,师范,10,25, 天津市河西区卫津路241号,533,否,否,否
南京林业大学,南京,江苏省教育厅,2,100,林业,6,46, 江苏省南京市龙蟠路159号,532,否,否,否
济宁学院,济宁,山东省教育厅,0,0,师范,0,0, 山东省济宁市曲阜新区杏坛路1号,无,否,否,否
洛阳师范学院,洛阳,河南省教育厅,0,0,师范,0,0, 河南洛阳市龙门路71号,无,否,否,否
信阳师范学院华锐学院,信阳,河南省教育厅,0,0,师范,0,0, 河南省信阳市长安路237号,无,否,否,否
山西师范大学现代文理学院,临汾,山西省教育厅,0,0,师范,0,0, 山西省临汾市尧都区贡院街一号,无,否,否,否
浙江工业大学,杭州,浙江省教育厅,4,125,工科,0,30, 浙江省杭州市潮王路18号,530,否,否,否
西安邮电大学,西安,陕西省人民政府,7,45,工科,6,0, 陕西省西安市长安南路563号,530,否,否,否
临沂大学,临沂,山东省教育厅,0,0,师范,0,0, 山东省临沂市兰山区双岭路中段,无,否,否,否
辽宁石油化工大学,抚顺,辽宁省教育厅,12,326,工科,3,2, 辽宁省抚顺市望花区丹东路西段一号,529,否,否,否
潍坊医学院,潍坊,山东省教育厅,2,56,医药,9,0, 中国·山东·潍坊 山东省潍坊市宝通西街7166号,529,否,否,否
江苏第二师范学院,南京市,江苏省教育厅,0,0,师范,0,0, 南京市北京西路77号,无,否,否,否
河北师范大学,石家庄,河北省教育厅,1,26,师范,1,8, 河北省石家庄市裕华东路113号,528,否,否,否
南昌师范学院,南昌市,江西省教育厅,0,0,师范,0,0, 南昌市学院路68号,无,否,否,否
南阳师范学院,南阳,河南省教育厅,0,0,师范,0,0, 河南省南阳市卧龙区卧龙路1638号,无,否,否,否
绍兴文理学院元培学院,绍兴,浙江省教育厅,0,0,师范,0,0, 浙江省绍兴市城南大道900号,无,否,否,否
安徽医科大学,合肥,安徽省教育厅,1,74,医药,12,26, 安徽省合肥市梅山路81号(校本部)，合肥市经济技术开发区翡翠路15号(南校区),526,否,否,否
东北电力大学,吉林,吉林省教育厅,1,60,工科,0,2, 吉林省吉林市长春路169号,526,否,否,否
黄淮学院,驻马店,河南省教育厅,0,0,师范,0,0, 河南省驻马店市开源路6号,无,否,否,否
南京工业大学,南京,江苏省教育厅,4,127,工科,1,41, 江苏省南京市中山北路200号,525,否,否,否
河池学院,宜州,广西壮族自治区教育厅,0,0,师范,0,0, 广西宜州市龙江路42号,无,否,否,否
山东中医药大学,济南,山东省教育厅,4,26,医药,0,15, 山东省济南市长清大学科技园,524,否,否,否
济南大学,济南,山东省教育厅,2,164,综合,10,3, 山东省济南市济微路106号,524,否,否,否
宝鸡文理学院,宝鸡,陕西省教育厅,0,0,师范,0,0, 陕西省宝鸡市宝光路44号,无,否,否,否
西安石油大学,西安,陕西省教育厅,10,33,工科,7,1, 陕西省西安市电子二路东段18号,524,否,否,否
周口师范学院,周口,河南省教育厅,0,0,师范,0,0, 河南省周口市川汇区文昌路东段,无,否,否,否
山东师范大学,济南,山东省教育厅,5,184,师范,2,86, 山东省济南市文化东路88号，山东省济南市长清区大学科技园大学路1号（长清校区地址）,523,否,否,否
沈阳药科大学,沈阳,辽宁省教育厅,1,26,医药,3,21, 辽宁省沈阳市沈河区文化路103号,523,否,否,否
